date_heure,consommation,prevision_j
2025-01-09 15:00:00+00:00,63066,62700
2025-01-09 15:15:00+00:00,62949,63000
2025-01-09 15:30:00+00:00,63348,63300
2025-01-09 15:45:00+00:00,63364,63650
2025-01-09 16:00:00+00:00,64135,64000
2025-01-09 16:15:00+00:00,64544,64950
2025-01-09 16:30:00+00:00,65796,65900
2025-01-09 16:45:00+00:00,67102,67100
2025-01-09 17:00:00+00:00,68200,68300
2025-01-09 17:15:00+00:00,69133,69050
2025-01-09 17:30:00+00:00,69566,69800
2025-01-09 17:45:00+00:00,70504,70750
2025-01-09 18:00:00+00:00,71349,71700
2025-01-09 18:15:00+00:00,70807,71200
2025-01-09 18:30:00+00:00,70270,70700
2025-01-09 18:45:00+00:00,69510,69500
2025-01-09 19:00:00+00:00,68459,68300
2025-01-09 19:15:00+00:00,67889,67400
2025-01-09 19:30:00+00:00,66716,66500
2025-01-09 19:45:00+00:00,66057,65750
2025-01-09 20:00:00+00:00,64798,65000
2025-01-09 20:15:00+00:00,64357,64650
2025-01-09 20:30:00+00:00,63764,64300
2025-01-09 20:45:00+00:00,63160,63700
2025-01-09 21:00:00+00:00,62804,63100
2025-01-09 21:15:00+00:00,63098,64250
2025-01-09 21:30:00+00:00,63295,65400
2025-01-09 21:45:00+00:00,64416,65900
2025-01-09 22:00:00+00:00,63818,66400
2025-01-09 22:15:00+00:00,63832,65200
2025-01-09 22:30:00+00:00,63059,64000
2025-01-09 22:45:00+00:00,62990,63350
2025-01-09 23:00:00+00:00,62346,62700
2025-01-09 23:15:00+00:00,62026,61900
2025-01-09 23:30:00+00:00,60972,61100
2025-01-09 23:45:00+00:00,59469,60200
2025-01-10 00:00:00+00:00,58971,59300
2025-01-10 00:15:00+00:00,59029,59150
2025-01-10 00:30:00+00:00,58506,59000
2025-01-10 00:45:00+00:00,58306,58900
2025-01-10 01:00:00+00:00,57893,58800
2025-01-10 01:15:00+00:00,58316,58200
2025-01-10 01:30:00+00:00,57440,57600
2025-01-10 01:45:00+00:00,56691,57050
2025-01-10 02:00:00+00:00,56187,56500
2025-01-10 02:15:00+00:00,56136,56150
2025-01-10 02:30:00+00:00,55472,55800
2025-01-10 02:45:00+00:00,55173,55500
2025-01-10 03:00:00+00:00,54988,55200
2025-01-10 03:15:00+00:00,55134,55300
2025-01-10 03:30:00+00:00,55037,55400
2025-01-10 03:45:00+00:00,55193,55500
2025-01-10 04:00:00+00:00,55657,55600
2025-01-10 04:15:00+00:00,57185,56950
2025-01-10 04:30:00+00:00,57671,58300
2025-01-10 04:45:00+00:00,58760,59200
2025-01-10 05:00:00+00:00,59911,60100
2025-01-10 05:15:00+00:00,61863,61650
2025-01-10 05:30:00+00:00,62700,63200
2025-01-10 05:45:00+00:00,64156,64600
2025-01-10 06:00:00+00:00,65722,66000
2025-01-10 06:15:00+00:00,67228,67300
2025-01-10 06:30:00+00:00,68295,68600
2025-01-10 06:45:00+00:00,69413,69650
2025-01-10 07:00:00+00:00,70665,70700
