fioul,hydraulique,prevision_j,nature,ech_comm_italie,ech_physiques,ech_comm_angleterre,charbon,nucleaire,date_heure,heure,solaire,perimetre,ech_comm_espagne,consommation,pompage,ech_comm_suisse,date,gaz,bioenergies,gaz_cogen,taux_co2,ech_comm_allemagne_belgique,eolien,prevision_j1,recordid
,,56600,Données définitives,,,,,,2012-01-06 03:45:00+00:00,04:45,,France,,,,,2012-01-06,,,,,,,55950,405db8ed45049b613ae34044e3e04d2fc81d5444
492.0,6977.0,56300,Données définitives,-811.0,-7329.0,-1750.0,208.0,52119.0,2012-01-06 03:30:00+00:00,04:30,0.0,France,-974.0,57537.0,-3185.0,-1865.0,2012-01-06,3820.0,704.0,ND,38.0,-1721,3730.0,55700,0e389fe56a009854000ab4af00f34f0b55bd8c2a
,,56400,Données définitives,,,,,,2012-01-06 03:15:00+00:00,04:15,,France,,,,,2012-01-06,,,,,,,55850,9714f8c2b9af85608d0c82aa8b729de02ce596f4
491.0,6740.0,56500,Données définitives,-811.0,-6814.0,-1750.0,165.0,51876.0,2012-01-06 03:00:00+00:00,04:00,0.0,France,-974.0,57826.0,-2963.0,-1865.0,2012-01-06,3791.0,705.0,ND,37.0,-1721,3835.0,56000,4630470327e17f322225f334b154e5f2532e4da7
,,56850,Données définitives,,,,,,2012-01-06 02:45:00+00:00,03:45,,France,,,,,2012-01-06,,,,,,,56400,b931a70a9d9fb48ada6af48344beb93a94dd7b8e
491.0,6691.0,57200,Données définitives,-811.0,-6795.0,-1750.0,108.0,52398.0,2012-01-06 02:30:00+00:00,03:30,0.0,France,-1400.0,58304.0,-2961.0,-2021.0,2012-01-06,3816.0,704.0,ND,36.0,-596,3851.0,56800,6fb4625aafbd412e56da931be3fa492cf5266021
,,57750,Données définitives,,,,,,2012-01-06 02:15:00+00:00,03:15,,France,,,,,2012-01-06,,,,,,,57450,9db9067e94ef7853f3ffb6ededab740f0eb5d96a
491.0,6674.0,58300,Données définitives,-811.0,-6556.0,-1750.0,75.0,53399.0,2012-01-06 02:00:00+00:00,03:00,0.0,France,-1400.0,59581.0,-2966.0,-2021.0,2012-01-06,3803.0,706.0,ND,35.0,-596,3956.0,58100,5dc338220b250a1b8f07e7c8cb4e533e29a17473
,,59100,Données définitives,,,,,,2012-01-06 01:45:00+00:00,02:45,,France,,,,,2012-01-06,,,,,,,58950,cef24b932533f7f87b203e57cefb3a4a5cfcda29
490.0,7084.0,59900,Données définitives,-834.0,-6540.0,-1750.0,48.0,54389.0,2012-01-06 01:30:00+00:00,02:30,0.0,France,-1167.0,61353.0,-2689.0,-2034.0,2012-01-06,3796.0,712.0,ND,34.0,-522,4062.0,59800,5052f8daad26c44a9d6dbb35ea389f61887dd5ee
,,60500,Données définitives,,,,,,2012-01-06 01:15:00+00:00,02:15,,France,,,,,2012-01-06,,,,,,,60250,41b1d96a80768d48b719d6742a8e671eba9f39db
488.0,7430.0,61100,Données définitives,-834.0,-7356.0,-1750.0,24.0,54882.0,2012-01-06 01:00:00+00:00,02:00,0.0,France,-1167.0,61719.0,-2335.0,-2034.0,2012-01-06,3799.0,706.0,ND,33.0,-522,4081.0,60700,ba54e0cc5df8c4736e9c6c3cf5b980c18ac94441
,,61050,Données définitives,,,,,,2012-01-06 00:45:00+00:00,01:45,,France,,,,,2012-01-06,,,,,,,60750,bd0a27be108a1b1c89a7683b6b9ba56e83854c3e
485.0,7444.0,61000,Données définitives,-861.0,-7273.0,-1750.0,18.0,55405.0,2012-01-06 00:30:00+00:00,01:30,0.0,France,-1397.0,62045.0,-2925.0,-2176.0,2012-01-06,4130.0,708.0,ND,34.0,-875,4053.0,60800,687ef4abba058de073480d6da5681371b28359c0
,,60800,Données définitives,,,,,,2012-01-06 00:15:00+00:00,01:15,,France,,,,,2012-01-06,,,,,,,60600,6c400ef0cb0d40aa89f132ec73f4f1642caccd6c
485.0,7699.0,60600,Données définitives,-861.0,-7507.0,-1750.0,0.0,55610.0,2012-01-06 00:00:00+00:00,01:00,0.0,France,-1397.0,62255.0,-2935.0,-2176.0,2012-01-06,4171.0,689.0,ND,34.0,-875,4042.0,60400,180b267feb50e5dcbe32673df4ae8ac3227385e3
,,61750,Données définitives,,,,,,2012-01-05 23:45:00+00:00,00:45,,France,,,,,2012-01-06,,,,,,,61450,0c6506b4f14cfac4dfffd0bd650b60c7a7de937e
485.0,8542.0,62900,Données définitives,-861.0,-7369.0,-1750.0,0.0,56093.0,2012-01-05 23:30:00+00:00,00:30,0.0,France,-1200.0,64862.0,-1986.0,-2174.0,2012-01-06,4296.0,686.0,ND,33.0,-1344,4116.0,62500,bf54f3998d93b728a6014448854a9aca4f928b6c
,,63850,Données définitives,,,,,,2012-01-05 23:15:00+00:00,00:15,,France,,,,,2012-01-06,,,,,,,63400,e38567b3a13ff7da72c818098ef76b3f087ecccc
486.0,9009.0,64800,Données définitives,-861.0,-8139.0,-1750.0,0.0,56902.0,2012-01-05 23:00:00+00:00,00:00,0.0,France,-1200.0,66515.0,-1098.0,-2174.0,2012-01-06,4585.0,684.0,ND,34.0,-1344,4085.0,64300,9989e98079b8d992e744aca1649086b69eaf17d9
,,64600,Données définitives,,,,,,2012-01-05 22:45:00+00:00,23:45,,France,,,,,2012-01-05,,,,,,,64350,74c4427e306d7ae1837efa8c139675161ed4c0fd
486.0,9244.0,64900,Données définitives,-861.0,-8412.0,-1750.0,0.0,57245.0,2012-01-05 22:30:00+00:00,23:30,0.0,France,-1093.0,66910.0,-1092.0,-2591.0,2012-01-05,4580.0,686.0,ND,33.0,-1697,4174.0,64400,638f1db6368c6b7bfa016449e9ff844470d16514
,,65800,Données définitives,,,,,,2012-01-05 22:15:00+00:00,23:15,,France,,,,,2012-01-05,,,,,,,65350,3b872da03978d9727803a281fd5621ff895faa10
484.0,10148.0,66700,Données définitives,-861.0,-8481.0,-1750.0,0.0,57036.0,2012-01-05 22:00:00+00:00,23:00,0.0,France,-1093.0,68169.0,-562.0,-2591.0,2012-01-05,4581.0,684.0,ND,33.0,-1697,4278.0,66300,8cbcfd27bd36169e46f8bab7b1d557fbac4728e5
,,65950,Données définitives,,,,,,2012-01-05 21:45:00+00:00,22:45,,France,,,,,2012-01-05,,,,,,,65550,e43c3167f0581c28473380d544364d6d0a62a079
486.0,9053.0,65200,Données définitives,-861.0,-8758.0,-1750.0,0.0,56455.0,2012-01-05 21:30:00+00:00,22:30,0.0,France,-1200.0,66070.0,-736.0,-2700.0,2012-01-05,4541.0,684.0,ND,33.0,-1622,4346.0,64800,84e254cc306f719372ca78a33932e2c817105ad4
,,64750,Données définitives,,,,,,2012-01-05 21:15:00+00:00,22:15,,France,,,,,2012-01-05,,,,,,,64300,4d9de370de887a816ac6e4819847bbddbe9fe0b2
486.0,9181.0,64300,Données définitives,-861.0,-8822.0,-1750.0,0.0,56507.0,2012-01-05 21:00:00+00:00,22:00,0.0,France,-1200.0,66269.0,-717.0,-2700.0,2012-01-05,4560.0,683.0,ND,33.0,-1622,4391.0,63800,9dd8e26f4a9ac355c2ce6274040485c0977a3386
,,65200,Données définitives,,,,,,2012-01-05 20:45:00+00:00,21:45,,France,,,,,2012-01-05,,,,,,,64700,34c7b7e32cc912284c59447176cb68a2ea329983
488.0,9945.0,66100,Données définitives,-860.0,-8893.0,-1750.0,0.0,56987.0,2012-01-05 20:30:00+00:00,21:30,0.0,France,-1056.0,68036.0,-239.0,-2511.0,2012-01-05,4550.0,686.0,ND,33.0,-2492,4513.0,65600,4afbdfdc26fa2009f5444e3728ed7fc4b1fb7569
,,67050,Données définitives,,,,,,2012-01-05 20:15:00+00:00,21:15,,France,,,,,2012-01-05,,,,,,,66500,6be2dfc4aadb385611ea32d63d761f3bed36167b
489.0,10615.0,68000,Données définitives,-860.0,-7973.0,-1750.0,0.0,57348.0,2012-01-05 20:00:00+00:00,21:00,0.0,France,-1056.0,70197.0,-53.0,-2511.0,2012-01-05,4568.0,686.0,ND,32.0,-2492,4517.0,67400,e5470fb458e2adea734458d77ef03aae7b32055e
,,69400,Données définitives,,,,,,2012-01-05 19:45:00+00:00,20:45,,France,,,,,2012-01-05,,,,,,,68800,c32fdb95f7f145e423fd3978181197ccf1e22217
488.0,12305.0,70800,Données définitives,-861.0,-7860.0,-1750.0,0.0,57647.0,2012-01-05 19:30:00+00:00,20:30,0.0,France,-774.0,72432.0,-25.0,-2282.0,2012-01-05,4595.0,684.0,ND,31.0,-1987,4596.0,70200,8685e140dee5fa7ee0efb76ed20fd571ff32a64d
,,71550,Données définitives,,,,,,2012-01-05 19:15:00+00:00,20:15,,France,,,,,2012-01-05,,,,,,,70950,3087474a9918cb2fa402b9b657c0258c7dd144c5
488.0,13124.0,72300,Données définitives,-861.0,-6208.0,-1750.0,0.0,57536.0,2012-01-05 19:00:00+00:00,20:00,0.0,France,-774.0,74868.0,-24.0,-2282.0,2012-01-05,4624.0,678.0,ND,31.0,-1987,4652.0,71700,a080c3d98c3bf9e6beddb42fcce48fe45dccde33
,,73350,Données définitives,,,,,,2012-01-05 18:45:00+00:00,19:45,,France,,,,,2012-01-05,,,,,,,72700,b8f875b12cff8332eaff9305b8e8e98f8dd42d92
489.0,14375.0,74400,Données définitives,-861.0,-5989.0,-1750.0,0.0,57929.0,2012-01-05 18:30:00+00:00,19:30,0.0,France,-79.0,76928.0,-24.0,-1487.0,2012-01-05,4643.0,690.0,ND,31.0,-1514,4815.0,73700,07ac96c75aefcd3b8ff24db12a18fd6516b9c43b
,,75500,Données définitives,,,,,,2012-01-05 18:15:00+00:00,19:15,,France,,,,,2012-01-05,,,,,,,74800,e0a903a0c628a119123aad20ff7932251ce0d71a
491.0,15872.0,76600,Données définitives,-861.0,-6215.0,-1750.0,0.0,58002.0,2012-01-05 18:00:00+00:00,19:00,0.0,France,-79.0,78351.0,-24.0,-1487.0,2012-01-05,4690.0,688.0,ND,30.0,-1514,4848.0,75900,511482783c10f3eff081b7dd28d8b30443b56d65
,,75700,Données définitives,,,,,,2012-01-05 17:45:00+00:00,18:45,,France,,,,,2012-01-05,,,,,,,74900,f6f51fa7209542546bde24d2235c547b350b9c24
490.0,14727.0,74800,Données définitives,-861.0,-6315.0,-1750.0,0.0,57793.0,2012-01-05 17:30:00+00:00,18:30,0.0,France,829.0,76939.0,-77.0,-1848.0,2012-01-05,4657.0,686.0,ND,31.0,-2261,4977.0,73900,6c00605569e47d7c8a3ade7d25d1118abe1b6e96
,,74450,Données définitives,,,,,,2012-01-05 17:15:00+00:00,18:15,,France,,,,,2012-01-05,,,,,,,73450,a67f872def41f1166c54d6fe4d02cf69e7816fb5
487.0,13671.0,74100,Données définitives,-861.0,-6491.0,-1750.0,0.0,57719.0,2012-01-05 17:00:00+00:00,18:00,0.0,France,829.0,75752.0,-77.0,-1848.0,2012-01-05,4668.0,680.0,ND,31.0,-2261,5095.0,73000,785055aaf2bc1c4929b78fd72b4f7f2fa9dc1a4a
,,72750,Données définitives,,,,,,2012-01-05 16:45:00+00:00,17:45,,France,,,,,2012-01-05,,,,,,,71500,3c6fd4bde371bfedd612de5d867c20cd95e8dd9c
