datetime,mw_consumption,spot_price_eur_mwh,is_holiday,is_school_holiday,holiday_name,hour,day_of_week,month,day_of_month,is_weekend
2026-01-02 02:00:00,61708.0,37.64,0,0,,2,4,1,2,0
2026-01-02 03:00:00,61113.0,27.49,0,0,,3,4,1,2,0
2026-01-02 04:00:00,62325.0,15.09,0,0,,4,4,1,2,0
2026-01-02 05:00:00,65212.0,10.04,0,0,,5,4,1,2,0
2026-01-02 06:00:00,67475.0,8.19,0,0,,6,4,1,2,0
2026-01-02 07:00:00,69675.0,58.41,0,0,,7,4,1,2,0
2026-01-02 08:00:00,71975.0,83.02,0,0,,8,4,1,2,0
2026-01-02 09:00:00,73908.0,97.5,0,0,,9,4,1,2,0
2026-01-02 10:00:00,74007.0,98.97,0,0,,10,4,1,2,0
2026-01-02 11:00:00,74647.0,90.64,0,0,,11,4,1,2,0
2026-01-02 12:00:00,73026.0,80.67,0,0,,12,4,1,2,0
2026-01-02 13:00:00,70918.0,70.78,0,0,,13,4,1,2,0
2026-01-02 14:00:00,69294.0,68.97,0,0,,14,4,1,2,0
2026-01-02 15:00:00,68657.0,74.44,0,0,,15,4,1,2,0
2026-01-02 16:00:00,70880.0,82.57,0,0,,16,4,1,2,0
2026-01-02 17:00:00,74514.0,94.46,0,0,,17,4,1,2,0
2026-01-02 18:00:00,75840.0,101.72,0,0,,18,4,1,2,0
2026-01-02 19:00:00,73833.0,102.8,0,0,,19,4,1,2,0
2026-01-02 20:00:00,71097.0,100.42,0,0,,20,4,1,2,0
2026-01-02 21:00:00,70868.0,90.75,0,0,,21,4,1,2,0
2026-01-02 22:00:00,71332.0,90.36,0,0,,22,4,1,2,0
2026-01-02 23:00:00,69706.0,87.27,0,0,,23,4,1,2,0
2026-01-03 00:00:00,67408.0,84.34,0,0,,0,5,1,3,1
2026-01-03 01:00:00,65834.0,80.9,0,0,,1,5,1,3,1
2026-01-03 02:00:00,63672.0,79.3,0,0,,2,5,1,3,1
2026-01-03 03:00:00,62524.0,77.77,0,0,,3,5,1,3,1
2026-01-03 04:00:00,62992.0,74.44,0,0,,4,5,1,3,1
2026-01-03 05:00:00,64318.0,74.18,0,0,,5,5,1,3,1
2026-01-03 06:00:00,66358.0,73.46,0,0,,6,5,1,3,1
2026-01-03 07:00:00,68786.0,78.56,0,0,,7,5,1,3,1
2026-01-03 08:00:00,71336.0,87.85,0,0,,8,5,1,3,1
2026-01-03 09:00:00,72757.0,95.35,0,0,,9,5,1,3,1
2026-01-03 10:00:00,72696.0,98.94,0,0,,10,5,1,3,1
2026-01-03 11:00:00,73220.0,91.95,0,0,,11,5,1,3,1
2026-01-03 12:00:00,71577.0,87.85,0,0,,12,5,1,3,1
2026-01-03 13:00:00,69268.0,85.85,0,0,,13,5,1,3,1
2026-01-03 14:00:00,67530.0,85.11,0,0,,14,5,1,3,1
2026-01-03 15:00:00,66970.0,90.0,0,0,,15,5,1,3,1
2026-01-03 16:00:00,69423.0,95.0,0,0,,16,5,1,3,1
2026-01-03 17:00:00,73400.0,106.16,0,0,,17,5,1,3,1
2026-01-03 18:00:00,75047.0,112.92,0,0,,18,5,1,3,1
2026-01-03 19:00:00,72915.0,111.03,0,0,,19,5,1,3,1
2026-01-03 20:00:00,70704.0,99.78,0,0,,20,5,1,3,1
2026-01-03 21:00:00,71018.0,96.32,0,0,,21,5,1,3,1
2026-01-03 22:00:00,71541.0,95.13,0,0,,22,5,1,3,1
2026-01-03 23:00:00,70325.0,91.53,0,0,,23,5,1,3,1
2026-01-04 00:00:00,68587.0,94.01,0,0,,0,6,1,4,1
2026-01-04 01:00:00,67218.0,87.72,0,0,,1,6,1,4,1
