datetime,temperature,vent,ensoleillement
2026-01-01 00:00:00,0.4,2.4,34
2026-01-01 01:00:00,-1.2,1.5,18
2026-01-01 02:00:00,-1.2,1.6,25
2026-01-01 03:00:00,-1.3,1.3,19
2026-01-01 04:00:00,-1.5,1.9,3
2026-01-01 05:00:00,-1.3,2.2,30
2026-01-01 06:00:00,-1.2,2.9,25
2026-01-01 07:00:00,-0.8,4.0,34
2026-01-01 08:00:00,-0.2,5.6,9
2026-01-01 09:00:00,0.3,6.8,15
2026-01-01 10:00:00,1.5,7.6,14
2026-01-01 11:00:00,1.7,9.0,6
2026-01-01 12:00:00,3.2,7.6,0
2026-01-01 13:00:00,4.1,9.7,2
2026-01-01 14:00:00,4.6,9.2,0
2026-01-01 15:00:00,5.1,9.4,0
2026-01-01 16:00:00,5.0,11.1,5
2026-01-01 17:00:00,5.1,11.8,0
2026-01-01 18:00:00,4.8,11.6,0
2026-01-01 19:00:00,4.0,11.8,0
2026-01-01 20:00:00,3.6,11.9,0
2026-01-01 21:00:00,3.6,11.9,0
2026-01-01 22:00:00,3.5,11.9,3
2026-01-01 23:00:00,3.6,12.6,2
2026-01-02 00:00:00,3.7,12.1,0
2026-01-02 01:00:00,3.6,12.5,0
2026-01-02 02:00:00,3.5,12.0,20
2026-01-02 03:00:00,3.3,11.9,2
2026-01-02 04:00:00,3.3,11.9,51
2026-01-02 05:00:00,2.9,11.7,40
2026-01-02 06:00:00,2.6,9.8,9
2026-01-02 07:00:00,2.3,8.3,0
2026-01-02 08:00:00,2.5,8.7,10
2026-01-02 09:00:00,2.8,10.8,10
2026-01-02 10:00:00,3.1,12.5,18
2026-01-02 11:00:00,3.9,12.8,5
2026-01-02 12:00:00,4.9,15.3,5
2026-01-02 13:00:00,5.3,15.8,0
2026-01-02 14:00:00,3.1,9.7,3
2026-01-02 15:00:00,3.2,7.3,0
2026-01-02 16:00:00,3.3,7.9,8
2026-01-02 17:00:00,3.1,8.6,4
2026-01-02 18:00:00,2.7,7.3,54
2026-01-02 19:00:00,2.2,6.7,86
2026-01-02 20:00:00,1.5,6.7,100
2026-01-02 21:00:00,1.3,5.9,100
2026-01-02 22:00:00,0.9,4.2,100
2026-01-02 23:00:00,0.7,4.0,100
2026-01-03 00:00:00,0.5,4.8,100
2026-01-03 01:00:00,0.1,5.1,92
2026-01-03 02:00:00,-0.0,5.1,81
2026-01-03 03:00:00,-0.1,4.5,97
2026-01-03 04:00:00,-0.3,4.4,39
2026-01-03 05:00:00,0.2,4.3,35
2026-01-03 06:00:00,0.5,8.0,24
2026-01-03 07:00:00,-0.1,9.2,9
2026-01-03 08:00:00,-0.3,10.1,2
2026-01-03 09:00:00,-0.2,10.9,53
2026-01-03 10:00:00,0.4,9.0,43
2026-01-03 11:00:00,0.9,10.1,43
2026-01-03 12:00:00,1.7,8.6,46
2026-01-03 13:00:00,3.5,9.8,61
2026-01-03 14:00:00,4.0,14.5,10
2026-01-03 15:00:00,4.0,14.4,100
2026-01-03 16:00:00,4.0,13.4,94
