datetime,spot_price_eur_mwh
2026-01-01 01:00:00,78.11
2026-01-01 01:15:00,68.99
2026-01-01 01:30:00,69.75
2026-01-01 01:45:00,58.72
2026-01-01 02:00:00,72.94
2026-01-01 02:15:00,59.74
2026-01-01 02:30:00,60.53
2026-01-01 02:45:00,48.39
2026-01-01 03:00:00,57.46
2026-01-01 03:15:00,49.88
2026-01-01 03:30:00,35.0
2026-01-01 03:45:00,33.41
2026-01-01 04:00:00,31.25
2026-01-01 04:15:00,24.55
2026-01-01 04:30:00,29.98
2026-01-01 04:45:00,30.53
2026-01-01 05:00:00,25.32
2026-01-01 05:15:00,24.52
2026-01-01 05:30:00,29.68
2026-01-01 05:45:00,16.47
2026-01-01 06:00:00,24.13
2026-01-01 06:15:00,13.43
2026-01-01 06:30:00,25.61
2026-01-01 06:45:00,19.55
2026-01-01 07:00:00,47.42
2026-01-01 07:15:00,23.58
2026-01-01 07:30:00,38.92
2026-01-01 07:45:00,21.12
2026-01-01 08:00:00,31.72
2026-01-01 08:15:00,30.08
2026-01-01 08:30:00,22.83
2026-01-01 08:45:00,13.91
2026-01-01 09:00:00,48.78
2026-01-01 09:15:00,39.31
2026-01-01 09:30:00,30.32
2026-01-01 09:45:00,10.38
2026-01-01 10:00:00,46.05
2026-01-01 10:15:00,26.44
2026-01-01 10:30:00,23.7
2026-01-01 10:45:00,10.87
2026-01-01 11:00:00,36.58
2026-01-01 11:15:00,19.79
2026-01-01 11:30:00,25.35
2026-01-01 11:45:00,20.43
2026-01-01 12:00:00,23.41
2026-01-01 12:15:00,27.01
2026-01-01 12:30:00,30.68
2026-01-01 12:45:00,32.88
2026-01-01 13:00:00,39.98
2026-01-01 13:15:00,38.58
2026-01-01 13:30:00,15.38
2026-01-01 13:45:00,15.66
2026-01-01 14:00:00,26.62
2026-01-01 14:15:00,40.0
2026-01-01 14:30:00,38.31
2026-01-01 14:45:00,50.32
2026-01-01 15:00:00,34.15
2026-01-01 15:15:00,45.03
2026-01-01 15:30:00,48.06
2026-01-01 15:45:00,62.88
2026-01-01 16:00:00,55.08
2026-01-01 16:15:00,71.0
2026-01-01 16:30:00,66.46
2026-01-01 16:45:00,82.62
2026-01-01 17:00:00,68.11
2026-01-01 17:15:00,74.84
2026-01-01 17:30:00,78.91
2026-01-01 17:45:00,82.09
2026-01-01 18:00:00,83.95
2026-01-01 18:15:00,84.7
2026-01-01 18:30:00,77.24
2026-01-01 18:45:00,83.42
2026-01-01 19:00:00,84.08
2026-01-01 19:15:00,88.05
2026-01-01 19:30:00,77.85
2026-01-01 19:45:00,78.66
2026-01-01 20:00:00,73.96
2026-01-01 20:15:00,73.03
2026-01-01 20:30:00,71.39
2026-01-01 20:45:00,66.25
2026-01-01 21:00:00,69.98
2026-01-01 21:15:00,65.51
2026-01-01 21:30:00,65.8
2026-01-01 21:45:00,58.27
2026-01-01 22:00:00,60.57
2026-01-01 22:15:00,60.78
2026-01-01 22:30:00,70.17
2026-01-01 22:45:00,66.03
2026-01-01 23:00:00,56.39
2026-01-01 23:15:00,51.81
2026-01-01 23:30:00,56.56
2026-01-01 23:45:00,44.45
2026-01-02 00:00:00,37.49
2026-01-02 00:15:00,40.29
2026-01-02 00:30:00,22.31
2026-01-02 00:45:00,7.45
2026-01-02 01:00:00,37.55
2026-01-02 01:15:00,26.97
2026-01-02 01:30:00,21.68
2026-01-02 01:45:00,16.53
2026-01-02 02:00:00,37.64
2026-01-02 02:15:00,26.13
2026-01-02 02:30:00,18.45
2026-01-02 02:45:00,9.38
2026-01-02 03:00:00,27.49
2026-01-02 03:15:00,23.36
2026-01-02 03:30:00,13.57
2026-01-02 03:45:00,4.81
2026-01-02 04:00:00,15.09
2026-01-02 04:15:00,16.44
2026-01-02 04:30:00,16.0
2026-01-02 04:45:00,22.51
2026-01-02 05:00:00,10.04
2026-01-02 05:15:00,16.84
2026-01-02 05:30:00,16.6
2026-01-02 05:45:00,30.0
2026-01-02 06:00:00,8.19
2026-01-02 06:15:00,24.38
2026-01-02 06:30:00,38.12
2026-01-02 06:45:00,53.53
2026-01-02 07:00:00,58.41
2026-01-02 07:15:00,70.36
2026-01-02 07:30:00,68.95
2026-01-02 07:45:00,72.34
2026-01-02 08:00:00,83.02
2026-01-02 08:15:00,84.7
2026-01-02 08:30:00,82.77
2026-01-02 08:45:00,81.85
2026-01-02 09:00:00,97.5
2026-01-02 09:15:00,93.0
2026-01-02 09:30:00,86.5
2026-01-02 09:45:00,80.99
2026-01-02 10:00:00,98.97
2026-01-02 10:15:00,91.07
2026-01-02 10:30:00,84.52
2026-01-02 10:45:00,80.0
2026-01-02 11:00:00,90.64
2026-01-02 11:15:00,84.7
2026-01-02 11:30:00,82.53
2026-01-02 11:45:00,80.67
2026-01-02 12:00:00,80.67
2026-01-02 12:15:00,80.0
2026-01-02 12:30:00,79.99
2026-01-02 12:45:00,79.99
2026-01-02 13:00:00,70.78
2026-01-02 13:15:00,68.63
2026-01-02 13:30:00,68.24
2026-01-02 13:45:00,74.95
2026-01-02 14:00:00,68.97
2026-01-02 14:15:00,73.69
2026-01-02 14:30:00,75.33
2026-01-02 14:45:00,79.85
2026-01-02 15:00:00,74.44
2026-01-02 15:15:00,81.38
2026-01-02 15:30:00,86.58
2026-01-02 15:45:00,89.92
2026-01-02 16:00:00,82.57
2026-01-02 16:15:00,90.81
2026-01-02 16:30:00,92.21
2026-01-02 16:45:00,93.65
2026-01-02 17:00:00,94.46
2026-01-02 17:15:00,99.74
2026-01-02 17:30:00,100.46
2026-01-02 17:45:00,104.66
2026-01-02 18:00:00,101.72
2026-01-02 18:15:00,102.8
2026-01-02 18:30:00,103.73
2026-01-02 18:45:00,106.16
2026-01-02 19:00:00,102.8
2026-01-02 19:15:00,102.8
2026-01-02 19:30:00,103.52
2026-01-02 19:45:00,103.52
2026-01-02 20:00:00,100.42
2026-01-02 20:15:00,94.81
2026-01-02 20:30:00,91.99
2026-01-02 20:45:00,88.71
2026-01-02 21:00:00,90.75
2026-01-02 21:15:00,88.05
2026-01-02 21:30:00,87.29
2026-01-02 21:45:00,82.82
2026-01-02 22:00:00,90.36
2026-01-02 22:15:00,86.65
2026-01-02 22:30:00,93.46
2026-01-02 22:45:00,85.54
2026-01-02 23:00:00,87.27
2026-01-02 23:15:00,83.57
2026-01-02 23:30:00,90.22
2026-01-02 23:45:00,78.97
2026-01-03 00:00:00,84.34
2026-01-03 00:15:00,82.79
2026-01-03 00:30:00,78.86
2026-01-03 00:45:00,75.48
2026-01-03 01:00:00,80.9
2026-01-03 01:15:00,77.99
2026-01-03 01:30:00,77.95
2026-01-03 01:45:00,77.9
2026-01-03 02:00:00,79.3
2026-01-03 02:15:00,77.37
2026-01-03 02:30:00,76.06
2026-01-03 02:45:00,74.72
2026-01-03 03:00:00,77.77
2026-01-03 03:15:00,76.42
2026-01-03 03:30:00,75.12
2026-01-03 03:45:00,74.2
2026-01-03 04:00:00,74.44
2026-01-03 04:15:00,73.8
2026-01-03 04:30:00,73.8
2026-01-03 04:45:00,73.72
2026-01-03 05:00:00,74.18
2026-01-03 05:15:00,74.24
2026-01-03 05:30:00,75.3
2026-01-03 05:45:00,77.35
2026-01-03 06:00:00,73.46
2026-01-03 06:15:00,75.07
2026-01-03 06:30:00,77.45
2026-01-03 06:45:00,80.31
2026-01-03 07:00:00,78.56
2026-01-03 07:15:00,77.57
2026-01-03 07:30:00,80.33
2026-01-03 07:45:00,82.6
2026-01-03 08:00:00,87.85
2026-01-03 08:15:00,90.35
2026-01-03 08:30:00,91.91
2026-01-03 08:45:00,92.65
2026-01-03 09:00:00,95.35
2026-01-03 09:15:00,95.63
2026-01-03 09:30:00,94.34
2026-01-03 09:45:00,91.04
2026-01-03 10:00:00,98.94
2026-01-03 10:15:00,95.0
2026-01-03 10:30:00,91.45
2026-01-03 10:45:00,87.85
2026-01-03 11:00:00,91.95
2026-01-03 11:15:00,89.0
2026-01-03 11:30:00,87.85
2026-01-03 11:45:00,86.03
2026-01-03 12:00:00,87.85
2026-01-03 12:15:00,87.06
2026-01-03 12:30:00,87.16
